3L_42_oligo	primer1	revRT1	8882600	8886000	2	45
3L_42_oligo	primer1	revRT2	8901400	8904000	2	45
3L_42_oligo	primer1	revRT3	8918000	8922000	2	45
3L_42_oligo	primer1	revRT22	8945000	8949000	2	45
3L_42_oligo	primer1	revRT23	8959500	8963000	2	45
3L_42_oligo	primer1	revRT24	8972700	8976500	2	45
3L_42_oligo	primer1	revRT7	8989000	8992600	2	45
3L_42_oligo	primer1	revRT8	9005500	9009100	2	45	
3L_42_oligo	primer1	revRT9	9020600	9024000	2	45
3L_42_oligo	primer1	revRT10	9034500	9039000	2	45
3L_42_oligo	primer1	revRT11	8891000	8894500	2	45
3L_42_oligo	primer1	revRT12	8909400	8913200	2	45
3L_42_oligo	primer1	revRT13	8927000	8931000	2	45
3L_42_oligo	primer1	revRT14	8936000	8939800	2	45
3L_42_oligo	primer1	revRT15	8952200	8955500	2	45
3L_42_oligo	primer1	revRT16	8966500	8969500	2	45
3L_42_oligo	primer1	revRT17	8978000	8981700	2	45
3L_42_oligo	primer1	revRT18	8995500	8999200	2	45
3L_42_oligo	primer1	revRT19	9011000	9014500	2	45
3L_42_oligo	primer1	revRT20	9027500	9031000	2	45
