3R_42_oligo	primer3	revRT1	12479245	12485445	2	70
3R_42_oligo	primer3	revRT2	12525120	12531920	2	70
3R_42_oligo	primer3	revRT3	12556648	12563648	2	70
3R_42_oligo	primer3	revRT22	12585504	12593704	2
3R_42_oligo	primer3	revRT23	12621478	12627678	2	70
3R_42_oligo	primer3	revRT24	12629628	12636244	2	70
3R_42_oligo	primer3	revRT7	12652271	12659271	2	70
3R_42_oligo	primer3	revRT8	12691840	12698040	2	70	
3R_42_oligo	primer3	revRT9	12721924	12728124	2	70
3R_42_oligo	primer3	revRT10	12742868	12749068	2	70
3R_42_oligo	primer3	revRT11	12750834	12757034	2
3R_42_oligo	primer3	revRT12	12794858	12801058	2	70
3R_42_oligo	primer3	revRT13	12806900	12813100	2	70
3R_42_oligo	primer3	revRT14	12496245	12502445	2	70
3R_42_oligo	primer3	revRT15	12571000	12578000	2	70
3R_42_oligo	primer3	revRT16	12543345	12549545	2	70
3R_42_oligo	primer3	revRT17	12603504	12609704	2	70
3R_42_oligo	primer3	revRT18	12674671	12680871	2	70
3R_42_oligo	primer3	revRT19	12772934	12778934	2	70
3R_42_oligo	primer3	revRT20	12450000	12456000	2	70
3R_42_oligo	primer3	revRT21	12307000	12313000	2	70
3R_42_oligo	primer3	revRT25	12324000	12330000	2	70
3R_42_oligo	primer3	revRT26	12341000	12347000	2	70
3R_42_oligo	primer3	revRT27	12358000	12364000	2	70
3R_42_oligo	primer3	revRT28	12375000	12381000	2	70
